studyno,respondentid,country,jobs,unemployment,income,retirement,housing,healthcare,cntry,year,emprate,foreignpct,netmig,pop,socx
ZA Study Number ISSP 2006,10104,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10105,Australia,1,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10106,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10107,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10108,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10110,Australia,0,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10111,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10113,Australia,1,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10114,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10115,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10116,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10117,Australia,0,1,0,0,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10118,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10120,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10121,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10123,Australia,0,0,0,0,0,0,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10124,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10126,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10127,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10128,Australia,0,1,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10129,Australia,0,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10130,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10131,Australia,0,0,0,1,0,0,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10132,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10133,Australia,1,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10135,Australia,1,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10136,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10137,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10138,Australia,1,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10139,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10140,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10141,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10142,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10143,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10144,Australia,0,1,1,0,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10145,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10146,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10147,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10150,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10151,Australia,0,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10152,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10153,Australia,0,0,0,0,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10154,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10155,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10156,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10158,Australia,0,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10159,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10160,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10161,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10164,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10165,Australia,0,0,0,0,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10166,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10167,Australia,0,0,0,0,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10168,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10169,Australia,1,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10170,Australia,0,1,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10173,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10174,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10175,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10176,Australia,0,1,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10177,Australia,1,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10178,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10179,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10180,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10181,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10182,Australia,0,0,0,0,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10183,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10184,Australia,1,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10186,Australia,0,0,1,0,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10187,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10188,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10189,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10192,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10193,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10194,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10197,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10198,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10199,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10200,Australia,1,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10201,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10202,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10203,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10204,Australia,0,1,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10205,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10206,Australia,1,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10207,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10209,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10210,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10211,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10213,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10214,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10215,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10216,Australia,1,0,1,0,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10217,Australia,1,1,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10218,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10219,Australia,0,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10221,Australia,1,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10222,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10223,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10224,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10225,Australia,1,0,0,0,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10227,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10228,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10229,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10230,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10232,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10233,Australia,1,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10234,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10236,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10237,Australia,0,0,0,0,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10238,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10239,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10240,Australia,1,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10241,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10242,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10243,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10244,Australia,0,1,0,0,1,0,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10246,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10247,Australia,0,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10249,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10250,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10251,Australia,1,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10253,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10254,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10255,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10256,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10257,Australia,0,1,0,1,1,0,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10258,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10260,Australia,1,1,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10261,Australia,1,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10262,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10263,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10264,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10266,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10267,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10268,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10269,Australia,0,1,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10270,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10271,Australia,1,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10272,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10274,Australia,1,1,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10275,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10276,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10277,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10278,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
